SPAC1486.05	SPAC688.03C
SPBC215.14C	SPBC4B4.06
SPBC215.14C	SPBC3B9.09
SPBC215.14C	SPAC1002.04C
SPAC222.08C	SPAC29B12.04
SPAC29B12.04	SPAC29B12.04
SPAC29B12.04	SPAC29B12.04
SPAC4D7.05	SPAC4F10.13C
SPAC19E9.01C	SPAC19E9.01C
SPAC19E9.01C	SPAC19E9.01C
SPAC12G12.05C	SPCC1322.13
SPCC11E10.03	SPAC27D7.13C
SPBC557.04	SPBC19F8.03C
SPAC11G7.03	SPBC902.05C
SPBC776.10C	SPAC22G7.09C
SPBC776.10C	SPBC25H2.03
SPAC22F8.08	SPBC776.04
SPBC1778.07	SPBC776.15C
SPBC1778.07	SPAC22G7.10
SPBC1778.07	SPAC926.05C
SPBC83.18C	SPAC20G8.05C
SPBC1347.06C	SPAC2F7.10
SPBC16G5.14C	SPAC3F10.17
SPCC962.03C	SPCC191.02C
SPCC962.03C	SPBC3E7.02C
SPCC962.03C	SPBP4H10.12
SPCC962.03C	SPAC5H10.09C
SPCC962.03C	SPAC4F8.07C
SPCC962.03C	SPAC15E1.10
SPCC962.03C	SPAC6F12.04
SPCC962.03C	SPCC1223.15C
SPCC962.03C	SPAC25B8.14
SPCC962.03C	SPCC576.03C
SPCC962.03C	SPBC23E6.06C
SPCC962.03C	SPBC365.06
SPCC962.03C	SPAC11D3.13
SPCC962.03C	SPBC11B10.08
SPCC962.03C	SPAC29B12.04
SPCC962.03C	SPBC365.20C
SPCC962.03C	SPAC1805.06C
SPCC962.03C	SPAC31A2.11C
SPCC962.03C	SPCC126.12
SPCC962.03C	SPAC806.06C
SPCC962.03C	SPCC63.07
SPCC962.03C	SPBC119.05C
SPCC962.03C	SPBC26H8.01
SPCC962.03C	SPBC354.12
SPCC962.03C	SPAC17A5.13
SPCC962.03C	SPAC27D7.04
